Назва, Адреса
Комунальне підприємство 1-ша міська клінічна лікарня ім. Князя Лева, вул. Ужгородська 1
Поліклінічне відділення № 1 КП 1МКЛ ім. Князя Лева, вул. Лемківська 28
Поліклінічне відділення № 2 КП 1МКЛ ім. Князя Лева, вул. Мазепи 25
Дитяче поліклінічне відділення № 1 КП 1МКЛ ім. Князя Лева, вул. Хімічна 7а
Комунальна 3-тя міська клінічна лікарня (К 3МКЛ) поліклінічне відділення для дорослих, вул. Озаркевича 2
К 3МКЛ відділення стаціонару, вул. Рапоппорта 6
К 3МКЛ відділення стаціонару, вул. Русових 4
К 3МКЛ поліклінічне відділення (філіал), вул. Шевченка 313
Комунальна 4-та міська клінічна лікарня (К 4МКЛ) поліклінічне відділення, вул. Я. Стецька 3
К 4МКЛ поліклінічне відділення для дітей, вул. Паркова 1
К 4МКЛ відділення стаціонару, вул. Свенцицького 3
Комунальна 5-та міська клінічна лікарня (К 5МКЛ), вул. Коновальця 22
К 5МКЛ відділення стаціонару, вул. Генерала Чупринки 45
К 5МКЛ поліклінічне відділення для дорослих, вул. Генерала Чупринки 43
К 5МКЛ поліклінічне відділення для дітей, вул. Генерала Чупринки 61
Комунальна 7-ма міська лікарня (К 7МЛ) відділення стаціонару, вул. В. Івасюка 74
К 7МЛ поліклінічне відділення для дітей, вул. Івасюка 40
К 7МЛ поліклінічне відділення для дорослих, вул. Ягідна 8
Комунальна 8-ма міська клінічна лікарня відділення стаціонару, вул.Навроцького 23
10-та міська лікарня відділення стаціонару, вул. Бой - Желенського 14
Комунальна міська клінічна лікарня швидкої медичної допомоги відділення стаціонару, вул. І.Миколайчука 9 
